,ID,RA,Dec,Ebv,Gal_Long,Gal_Lat,Ecl_Long,Ecl_Lat,Entry
15863,15864,91.54286,13.0,1.0,196.19085,-3.87574,91.53439,-10.43126,15863
16060,16061,294.17143,13.0,1.0,49.67079,-3.87176,298.7808,34.05606,16060
2848,2849,13.62162,59.0,1.0,123.32535,-3.86942,42.10234,47.58083,2848
2847,2848,11.67568,59.0,1.0,122.32086,-3.86613,40.88368,48.16073,2847
4729,4730,56.1039,50.0,1.0,149.12425,-3.86558,65.71355,29.38162,4729
3434,3435,39.40299,56.0,1.0,137.43646,-3.85261,56.61111,38.27718,3434
3809,3810,342.52427,55.0,1.0,106.05343,-3.8454,17.05298,55.0968,3809
2849,2850,15.56757,59.0,1.0,124.32945,-3.84235,43.31907,47.01195,2849
4451,4452,333.93665,52.0,1.0,100.12209,-3.83978,6.73048,56.16361,4451
5869,5870,322.56,46.0,1.0,90.54283,-3.83637,349.58722,55.89465,5869
3235,3236,34.89796,57.0,1.0,134.75107,-3.83506,54.21081,40.2073,3235
3407,3408,350.81633,57.0,1.0,111.11038,-3.8342,25.27659,53.52231,3407
2846,2847,9.72973,59.0,1.0,121.31696,-3.83249,39.66273,48.75141,2846
26700,26701,278.37209,-17.0,1.0,15.77547,-3.82602,278.04548,6.20559,26700
13113,13114,86.78571,21.0,1.0,186.96953,-3.82093,87.0024,-2.40584,13113
29374,29375,273.86503,-25.0,1.0,6.71858,-3.81894,273.49805,-1.6077,29374
13311,13312,298.92857,21.0,1.0,58.89207,-3.81719,306.63607,40.83163,13311
4501,4502,54.15929,51.0,1.0,147.53124,-3.80776,64.6385,30.67146,4501
22482,22483,284.58101,-5.0,1.0,29.2589,-3.8059,285.2545,17.67032,22482
16411,16412,293.52273,12.0,1.0,48.48663,-3.80018,297.80258,33.19714,16411
5200,5201,60.0,48.0,1.0,152.37559,-3.79639,67.98609,26.82959,5200
8583,8584,310.51546,36.0,1.0,77.02901,-3.79479,327.83239,51.62526,8583
7726,7727,313.54839,39.0,1.0,80.88263,-3.7867,333.53653,53.27211,7726
2850,2851,17.51351,59.0,1.0,125.33223,-3.78496,44.5342,46.45434,2850
24085,24086,103.72881,-10.0,1.0,222.23805,-3.77754,106.12742,-32.67387,24085
5442,5443,61.71429,47.0,1.0,153.90889,-3.77753,69.00585,25.60304,5442
24613,24614,281.47309,-11.0,1.0,22.50155,-3.77672,281.50776,11.98193,24613
26356,26357,278.84393,-16.0,1.0,16.8741,-3.77148,278.56052,7.17667,26356
12644,12645,300.18127,23.0,1.0,61.20942,-3.76999,308.83871,42.45664,12644
2845,2846,7.78378,59.0,1.0,120.3146,-3.76853,38.4391,49.35263,2845
29048,29049,274.39024,-24.0,1.0,7.82818,-3.76828,274.0045,-0.62181,29048
9776,9777,306.88525,32.0,1.0,72.01339,-3.76481,321.03739,49.11606,9776
13648,13649,298.22485,20.0,1.0,57.69294,-3.76393,305.46926,40.02805,13648
